kanji,back,tags
亜,<b>Meanings:</b> Asia; rank next; come after; -ous<br><br><b>On'yomi:</b> ア<br><br><b>Kun'yomi:</b> つ.ぐ<br><br><b>Name readings:</b> や; つぎ; つぐ<br><br><b>Stats:</b> Strokes: 7 | Radical: 7 | Freq: #1509<br><br><b>Heisig:</b> RTK: #1809 | RTK6: #1950,grade8
阿,<b>Meanings:</b> Africa; flatter; fawn upon; corner; nook; recess<br><br><b>On'yomi:</b> ア; オ<br><br><b>Kun'yomi:</b> おもね.る; くま<br><br><b>Name readings:</b> ほとり; あず; あわ; おか; きた; な<br><br><b>Stats:</b> Strokes: 8 | Radical: 170 | Freq: #1126<br><br><b>Heisig:</b> RTK: #1295 | RTK6: #1391,grade9
哀,<b>Meanings:</b> pathetic; grief; sorrow; pathos; pity; sympathize<br><br><b>On'yomi:</b> アイ<br><br><b>Kun'yomi:</b> あわ.れ; あわ.れむ; かな.しい<br><br><b>Stats:</b> Strokes: 9 | Radical: 30 | Freq: #1715<br><br><b>Heisig:</b> RTK: #401 | RTK6: #428,grade8
葵,<b>Meanings:</b> hollyhock<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> あおい<br><br><b>Name readings:</b> まもる; け<br><br><b>Stats:</b> Strokes: 12 | Radical: 140 | Freq: #2122<br><br><b>Heisig:</b> RTK: #2391 | RTK6: #2472,grade9
茜,<b>Meanings:</b> madder; red dye; Turkey red<br><br><b>On'yomi:</b> セン<br><br><b>Kun'yomi:</b> あかね<br><br><b>Stats:</b> Strokes: 9 | Radical: 140 | Freq: #2422<br><br><b>Heisig:</b> RTK: #2407 | RTK6: #2487,grade9
握,<b>Meanings:</b> grip; hold; mould sushi; bribe<br><br><b>On'yomi:</b> アク<br><br><b>Kun'yomi:</b> にぎ.る<br><br><b>Stats:</b> Strokes: 12 | Radical: 64 | Freq: #1003<br><br><b>Heisig:</b> RTK: #1059 | RTK6: #1139,grade8
渥,<b>Meanings:</b> kindness; moisten<br><br><b>On'yomi:</b> アク<br><br><b>Kun'yomi:</b> あつ.い; うるお.う<br><br><b>Name readings:</b> あつし<br><br><b>Stats:</b> Strokes: 12 | Radical: 85 | Freq: #2257<br><br><b>Heisig:</b> RTK: #2320 | RTK6: #2411,grade9
旭,<b>Meanings:</b> rising sun; morning sun<br><br><b>On'yomi:</b> キョク<br><br><b>Kun'yomi:</b> あさひ<br><br><b>Name readings:</b> あきら; あき; てる; ひ<br><br><b>Stats:</b> Strokes: 6 | Radical: 72 | Freq: #1417<br><br><b>Heisig:</b> RTK: #27 | RTK6: #27,grade9
梓,<b>Meanings:</b> catalpa tree; woodblock printing<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> あずさ<br><br><b>Stats:</b> Strokes: 11 | Radical: 75 | Freq: #2301<br><br><b>Heisig:</b> RTK: #1498 | RTK6: #1614,grade9
扱,<b>Meanings:</b> handle; entertain; thresh; strip<br><br><b>On'yomi:</b> ソウ; キュウ<br><br><b>Kun'yomi:</b> あつか.い; あつか.う; あつか.る; こ.く<br><br><b>Stats:</b> Strokes: 6 | Radical: 64 | Freq: #1057<br><br><b>Heisig:</b> RTK: #690 | RTK6: #745,grade8
絢,<b>Meanings:</b> brilliant fabric design<br><br><b>On'yomi:</b> ケン<br><br><b>Name readings:</b> じゅん; あや<br><br><b>Stats:</b> Strokes: 12 | Radical: 120 | Freq: #2315<br><br><b>Heisig:</b> RTK: #2664 | RTK6: #2706,grade9
