kanji,back,tags
悪,<b>Meanings:</b> bad; vice; rascal; false; evil; wrong<br><br><b>On'yomi:</b> アク; オ<br><br><b>Kun'yomi:</b> わる.い; わる-; あ.し; にく.い; -にく.い; ああ; いずくに; いずくんぞ; にく.む<br><br><b>Stats:</b> Strokes: 11 | Radical: 61 | Freq: #530<br><br><b>Heisig:</b> RTK: #1810 | RTK6: #1951,grade3
暗,<b>Meanings:</b> darkness; disappear; shade; informal; grow dark; be blinded<br><br><b>On'yomi:</b> アン<br><br><b>Kun'yomi:</b> くら.い; くら.む; くれ.る<br><br><b>Stats:</b> Strokes: 13 | Radical: 72 | Freq: #1040<br><br><b>Heisig:</b> RTK: #480 | RTK6: #519,grade3
以,<b>Meanings:</b> by means of; because; in view of; compared with<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> もっ.て<br><br><b>Name readings:</b> もち<br><br><b>Stats:</b> Strokes: 5 | Radical: 9 | Freq: #126<br><br><b>Heisig:</b> RTK: #1028 | RTK6: #1105,grade4
意,<b>Meanings:</b> idea; mind; heart; taste; thought; desire; care; liking<br><br><b>On'yomi:</b> イ<br><br><b>Name readings:</b> もと; よし<br><br><b>Stats:</b> Strokes: 13 | Radical: 61 | Freq: #99<br><br><b>Heisig:</b> RTK: #608 | RTK6: #654,grade3
医,<b>Meanings:</b> doctor; medicine<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> い.やす; い.する; くすし<br><br><b>Stats:</b> Strokes: 7 | Radical: 23 | Freq: #437<br><br><b>Heisig:</b> RTK: #1694 | RTK6: #1829,grade3
員,<b>Meanings:</b> employee; member; number; the one in charge<br><br><b>On'yomi:</b> イン<br><br><b>Name readings:</b> いな; かず<br><br><b>Stats:</b> Strokes: 10 | Radical: 30 | Freq: #54<br><br><b>Heisig:</b> RTK: #56 | RTK6: #59,grade3
引,<b>Meanings:</b> pull; tug; jerk; admit; install; quote; refer to<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> ひ.く; ひ.ける<br><br><b>Name readings:</b> いな; ひき; ひけ; びき<br><br><b>Stats:</b> Strokes: 4 | Radical: 57 | Freq: #218<br><br><b>Heisig:</b> RTK: #1232 | RTK6: #1318,grade2
院,<b>Meanings:</b> Inst.; institution; temple; mansion; school<br><br><b>On'yomi:</b> イン<br><br><b>Stats:</b> Strokes: 10 | Radical: 170 | Freq: #150<br><br><b>Heisig:</b> RTK: #1304 | RTK6: #1401,grade3
運,<b>Meanings:</b> carry; luck; destiny; fate; lot; transport; progress; advance<br><br><b>On'yomi:</b> ウン<br><br><b>Kun'yomi:</b> はこ.ぶ<br><br><b>Stats:</b> Strokes: 12 | Radical: 162 | Freq: #255<br><br><b>Heisig:</b> RTK: #303 | RTK6: #325,grade3
映,<b>Meanings:</b> reflect; reflection; projection<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> うつ.る; うつ.す; は.える; -ば.え<br><br><b>Name readings:</b> あきら; え; てる<br><br><b>Stats:</b> Strokes: 9 | Radical: 72 | Freq: #404<br><br><b>Heisig:</b> RTK: #1742 | RTK6: #1879,grade6
英,<b>Meanings:</b> England; English; hero; outstanding; calyx<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> はなぶさ<br><br><b>Name readings:</b> あ; あい; え; すぐる; はな; ひ; ひで; よし; ら<br><br><b>Stats:</b> Strokes: 8 | Radical: 140 | Freq: #430<br><br><b>Heisig:</b> RTK: #1741 | RTK6: #1878,grade4
遠,<b>Meanings:</b> distant; far<br><br><b>On'yomi:</b> エン; オン<br><br><b>Kun'yomi:</b> とお.い<br><br><b>Name readings:</b> お; おに; ど; どお<br><br><b>Stats:</b> Strokes: 13 | Radical: 162 | Freq: #887<br><br><b>Heisig:</b> RTK: #402 | RTK6: #429,grade2
屋,<b>Meanings:</b> roof; house; shop; dealer; seller<br><br><b>On'yomi:</b> オク<br><br><b>Kun'yomi:</b> や<br><br><b>Name readings:</b> た<br><br><b>Stats:</b> Strokes: 9 | Radical: 44 | Freq: #616<br><br><b>Heisig:</b> RTK: #1058 | RTK6: #1138,grade3
音,<b>Meanings:</b> sound; noise<br><br><b>On'yomi:</b> オン; イン; -ノン<br><br><b>Kun'yomi:</b> おと; ね<br><br><b>Name readings:</b> お; と<br><br><b>Stats:</b> Strokes: 9 | Radical: 180 | Freq: #491<br><br><b>Heisig:</b> RTK: #479 | RTK6: #518,grade1
夏,<b>Meanings:</b> summer<br><br><b>On'yomi:</b> カ; ガ; ゲ<br><br><b>Kun'yomi:</b> なつ<br><br><b>Stats:</b> Strokes: 10 | Radical: 35 | Freq: #659<br><br><b>Heisig:</b> RTK: #296 | RTK6: #317,grade2
家,<b>Meanings:</b> house; home; family; professional; expert; performer<br><br><b>On'yomi:</b> カ; ケ<br><br><b>Kun'yomi:</b> いえ; や; うち<br><br><b>Name readings:</b> あり; え; く; つか; べ<br><br><b>Stats:</b> Strokes: 10 | Radical: 40 | Freq: #133<br><br><b>Heisig:</b> RTK: #541 | RTK6: #580,grade2
歌,<b>Meanings:</b> song; sing<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> うた; うた.う<br><br><b>Stats:</b> Strokes: 14 | Radical: 76 | Freq: #519<br><br><b>Heisig:</b> RTK: #469 | RTK6: #508,grade2
画,<b>Meanings:</b> brush-stroke; picture<br><br><b>On'yomi:</b> ガ; カク; エ; カイ<br><br><b>Kun'yomi:</b> えが.く; かく.する; かぎ.る; はかりごと; はか.る<br><br><b>Stats:</b> Strokes: 8 | Radical: 102 | Freq: #199<br><br><b>Heisig:</b> RTK: #1170 | RTK6: #1254,grade2
回,<b>Meanings:</b> -times; round; game; revolve; counter for occurrences<br><br><b>On'yomi:</b> カイ; エ<br><br><b>Kun'yomi:</b> まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える<br><br><b>Stats:</b> Strokes: 6 | Radical: 31 | Freq: #50<br><br><b>Heisig:</b> RTK: #586 | RTK6: #630,grade2
海,<b>Meanings:</b> sea; ocean<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> うみ<br><br><b>Name readings:</b> あ; あま; うな; うん; え; か; た; ひろ; ひろし; ぶ; まち; まま; み; め; わたる<br><br><b>Stats:</b> Strokes: 9 | Radical: 85 | Freq: #200<br><br><b>Heisig:</b> RTK: #461 | RTK6: #500,grade2
界,<b>Meanings:</b> world; boundary<br><br><b>On'yomi:</b> カイ<br><br><b>Stats:</b> Strokes: 9 | Radical: 102 | Freq: #158<br><br><b>Heisig:</b> RTK: #251 | RTK6: #266,grade3
開,<b>Meanings:</b> open; unfold; unseal<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> ひら.く; ひら.き; -びら.き; ひら.ける; あ.く; あ.ける<br><br><b>Name readings:</b> はる; か; ひらき<br><br><b>Stats:</b> Strokes: 12 | Radical: 169 | Freq: #59<br><br><b>Heisig:</b> RTK: #1622 | RTK6: #1750,grade3
楽,<b>Meanings:</b> music; comfort; ease<br><br><b>On'yomi:</b> ガク; ラク; ゴウ<br><br><b>Kun'yomi:</b> たの.しい; たの.しむ; この.む<br><br><b>Name readings:</b> さ; た; やす; ら<br><br><b>Stats:</b> Strokes: 13 | Radical: 75 | Freq: #373<br><br><b>Heisig:</b> RTK: #1735 | RTK6: #1872,grade2
寒,<b>Meanings:</b> cold<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> さむ.い<br><br><b>Name readings:</b> さ; さん<br><br><b>Stats:</b> Strokes: 12 | Radical: 40 | Freq: #1456<br><br><b>Heisig:</b> RTK: #1526 | RTK6: #1645,grade3
漢,<b>Meanings:</b> Sino-; China<br><br><b>On'yomi:</b> カン<br><br><b>Name readings:</b> はん<br><br><b>Stats:</b> Strokes: 13 | Radical: 85 | Freq: #1487<br><br><b>Heisig:</b> RTK: #1578 | RTK6: #1701,grade3
館,<b>Meanings:</b> building; mansion; large building; palace<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> やかた; たて<br><br><b>Name readings:</b> たち<br><br><b>Stats:</b> Strokes: 16 | Radical: 184 | Freq: #613<br><br><b>Heisig:</b> RTK: #1478 | RTK6: #1589,grade3
顔,<b>Meanings:</b> face; expression<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> かお<br><br><b>Stats:</b> Strokes: 18 | Radical: 181 | Freq: #676<br><br><b>Heisig:</b> RTK: #1717 | RTK6: #1853,grade2
帰,<b>Meanings:</b> homecoming; arrive at; lead to; result in<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> かえ.る; かえ.す; おく.る; とつ.ぐ<br><br><b>Stats:</b> Strokes: 10 | Radical: 50 | Freq: #504<br><br><b>Heisig:</b> RTK: #1230 | RTK6: #1316,grade2
起,<b>Meanings:</b> rouse; wake up; get up<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> お.きる; お.こる; お.こす; おこ.す; た.つ<br><br><b>Stats:</b> Strokes: 10 | Radical: 156 | Freq: #374<br><br><b>Heisig:</b> RTK: #526 | RTK6: #565,grade3
急,<b>Meanings:</b> hurry; emergency; sudden; steep<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> いそ.ぐ; いそ.ぎ; せ.く<br><br><b>Stats:</b> Strokes: 9 | Radical: 61 | Freq: #309<br><br><b>Heisig:</b> RTK: #1146 | RTK6: #1229,grade3
究,<b>Meanings:</b> research; study<br><br><b>On'yomi:</b> キュウ; ク<br><br><b>Kun'yomi:</b> きわ.める<br><br><b>Name readings:</b> きゅ<br><br><b>Stats:</b> Strokes: 7 | Radical: 116 | Freq: #368<br><br><b>Heisig:</b> RTK: #1320 | RTK6: #1417,grade3
牛,<b>Meanings:</b> cow<br><br><b>On'yomi:</b> ギュウ<br><br><b>Kun'yomi:</b> うし<br><br><b>Name readings:</b> うじ; ご<br><br><b>Stats:</b> Strokes: 4 | Radical: 93 | Freq: #1202<br><br><b>Heisig:</b> RTK: #245 | RTK6: #260,grade2
去,<b>Meanings:</b> gone; past; quit; leave; elapse; eliminate; divorce<br><br><b>On'yomi:</b> キョ; コ<br><br><b>Kun'yomi:</b> さ.る; -さ.る<br><br><b>Name readings:</b> い<br><br><b>Stats:</b> Strokes: 5 | Radical: 28 | Freq: #440<br><br><b>Heisig:</b> RTK: #750 | RTK6: #812,grade3
京,<b>Meanings:</b> capital; 10**16<br><br><b>On'yomi:</b> キョウ; ケイ; キン<br><br><b>Kun'yomi:</b> みやこ<br><br><b>Name readings:</b> たか<br><br><b>Stats:</b> Strokes: 8 | Radical: 8 | Freq: #74<br><br><b>Heisig:</b> RTK: #312 | RTK6: #334,grade2
強,<b>Meanings:</b> strong<br><br><b>On'yomi:</b> キョウ; ゴウ<br><br><b>Kun'yomi:</b> つよ.い; つよ.まる; つよ.める; し.いる; こわ.い<br><br><b>Name readings:</b> すね<br><br><b>Stats:</b> Strokes: 11 | Radical: 57 | Freq: #112<br><br><b>Heisig:</b> RTK: #1235 | RTK6: #1321,grade2
教,<b>Meanings:</b> teach; faith; doctrine<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> おし.える; おそ.わる<br><br><b>Name readings:</b> のり; ひさ<br><br><b>Stats:</b> Strokes: 11 | Radical: 66 | Freq: #166<br><br><b>Heisig:</b> RTK: #1254 | RTK6: #1343,grade2
業,<b>Meanings:</b> business; vocation; arts; performance<br><br><b>On'yomi:</b> ギョウ; ゴウ<br><br><b>Kun'yomi:</b> わざ<br><br><b>Name readings:</b> なり; のぶ<br><br><b>Stats:</b> Strokes: 13 | Radical: 75 | Freq: #43<br><br><b>Heisig:</b> RTK: #1792 | RTK6: #1931,grade3
近,<b>Meanings:</b> near; early; akin; tantamount<br><br><b>On'yomi:</b> キン; コン<br><br><b>Kun'yomi:</b> ちか.い<br><br><b>Name readings:</b> おう; おお; この<br><br><b>Stats:</b> Strokes: 7 | Radical: 162 | Freq: #194<br><br><b>Heisig:</b> RTK: #1129 | RTK6: #1210,grade2
銀,<b>Meanings:</b> silver<br><br><b>On'yomi:</b> ギン<br><br><b>Kun'yomi:</b> しろがね<br><br><b>Name readings:</b> うん; かな; かね<br><br><b>Stats:</b> Strokes: 14 | Radical: 167 | Freq: #395<br><br><b>Heisig:</b> RTK: #1459 | RTK6: #1569,grade3
区,<b>Meanings:</b> ward; district<br><br><b>On'yomi:</b> ク; オウ; コウ<br><br><b>Stats:</b> Strokes: 4 | Radical: 23 | Freq: #137<br><br><b>Heisig:</b> RTK: #1696 | RTK6: #1831,grade3
兄,<b>Meanings:</b> elder brother; big brother<br><br><b>On'yomi:</b> ケイ; キョウ<br><br><b>Kun'yomi:</b> あに<br><br><b>Name readings:</b> え; せ; よし<br><br><b>Stats:</b> Strokes: 5 | Radical: 10 | Freq: #1219<br><br><b>Heisig:</b> RTK: #103 | RTK6: #107,grade2
計,<b>Meanings:</b> plot; plan; scheme; measure<br><br><b>On'yomi:</b> ケイ<br><br><b>Kun'yomi:</b> はか.る; はか.らう<br><br><b>Name readings:</b> え; かず; け<br><br><b>Stats:</b> Strokes: 9 | Radical: 149 | Freq: #228<br><br><b>Heisig:</b> RTK: #337 | RTK6: #359,grade2
軽,<b>Meanings:</b> lightly; trifling; unimportant<br><br><b>On'yomi:</b> ケイ; キョウ; キン<br><br><b>Kun'yomi:</b> かる.い; かろ.やか; かろ.んじる<br><br><b>Stats:</b> Strokes: 12 | Radical: 159 | Freq: #790<br><br><b>Heisig:</b> RTK: #717 | RTK6: #774,grade3
建,<b>Meanings:</b> build<br><br><b>On'yomi:</b> ケン; コン<br><br><b>Kun'yomi:</b> た.てる; た.て; -だ.て; た.つ<br><br><b>Name readings:</b> たけ; たつ; たて<br><br><b>Stats:</b> Strokes: 9 | Radical: 54 | Freq: #300<br><br><b>Heisig:</b> RTK: #391 | RTK6: #417,grade4
犬,<b>Meanings:</b> dog<br><br><b>On'yomi:</b> ケン<br><br><b>Kun'yomi:</b> いぬ; いぬ-<br><br><b>Stats:</b> Strokes: 4 | Radical: 94 | Freq: #1326<br><br><b>Heisig:</b> RTK: #238 | RTK6: #253,grade1
研,<b>Meanings:</b> polish; study of; sharpen<br><br><b>On'yomi:</b> ケン<br><br><b>Kun'yomi:</b> と.ぐ<br><br><b>Name readings:</b> のり<br><br><b>Stats:</b> Strokes: 9 | Radical: 112 | Freq: #336<br><br><b>Heisig:</b> RTK: #675 | RTK6: #729,grade3
県,<b>Meanings:</b> prefecture<br><br><b>On'yomi:</b> ケン<br><br><b>Kun'yomi:</b> か.ける<br><br><b>Name readings:</b> あがた; がた<br><br><b>Stats:</b> Strokes: 9 | Radical: 109 | Freq: #140<br><br><b>Heisig:</b> RTK: #513 | RTK6: #552,grade3
験,<b>Meanings:</b> verification; effect; testing<br><br><b>On'yomi:</b> ケン; ゲン<br><br><b>Kun'yomi:</b> あかし; しるし; ため.す; ためし<br><br><b>Stats:</b> Strokes: 18 | Radical: 187 | Freq: #410<br><br><b>Heisig:</b> RTK: #1980 | RTK6: #2134,grade4
元,<b>Meanings:</b> beginning; former time; origin<br><br><b>On'yomi:</b> ゲン; ガン<br><br><b>Kun'yomi:</b> もと<br><br><b>Name readings:</b> ちか; はじめ; はる; ゆき; よし<br><br><b>Stats:</b> Strokes: 4 | Radical: 10 | Freq: #192<br><br><b>Heisig:</b> RTK: #59 | RTK6: #63,grade2
光,<b>Meanings:</b> ray; light<br><br><b>On'yomi:</b> コウ<br><br><b>Kun'yomi:</b> ひか.る; ひかり<br><br><b>Name readings:</b> あき; あきら; こお; てる; ひこ; み; みつ<br><br><b>Stats:</b> Strokes: 6 | Radical: 10 | Freq: #527<br><br><b>Heisig:</b> RTK: #119 | RTK6: #125,grade2
好,<b>Meanings:</b> fond; pleasing; like something<br><br><b>On'yomi:</b> コウ<br><br><b>Kun'yomi:</b> この.む; す.く; よ.い; い.い<br><br><b>Name readings:</b> こ; たか; とし; よし<br><br><b>Stats:</b> Strokes: 6 | Radical: 38 | Freq: #423<br><br><b>Heisig:</b> RTK: #99 | RTK6: #103,grade4
工,<b>Meanings:</b> craft; construction; katakana e radical (no. 48)<br><br><b>On'yomi:</b> コウ; ク; グ<br><br><b>Name readings:</b> もく<br><br><b>Stats:</b> Strokes: 3 | Radical: 48 | Freq: #299<br><br><b>Heisig:</b> RTK: #76 | RTK6: #80,grade2
広,<b>Meanings:</b> wide; broad; spacious<br><br><b>On'yomi:</b> コウ<br><br><b>Kun'yomi:</b> ひろ.い; ひろ.まる; ひろ.める; ひろ.がる; ひろ.げる<br><br><b>Stats:</b> Strokes: 5 | Radical: 53 | Freq: #263<br><br><b>Heisig:</b> RTK: #739 | RTK6: #799,grade2
考,<b>Meanings:</b> consider; think over<br><br><b>On'yomi:</b> コウ<br><br><b>Kun'yomi:</b> かんが.える; かんが.え<br><br><b>Name readings:</b> たか<br><br><b>Stats:</b> Strokes: 6 | Radical: 125 | Freq: #196<br><br><b>Heisig:</b> RTK: #1252 | RTK6: #1341,grade2
合,<b>Meanings:</b> fit; suit; join; 0.1<br><br><b>On'yomi:</b> ゴウ; ガッ; カッ<br><br><b>Kun'yomi:</b> あ.う; -あ.う; あ.い; あい-; -あ.い; -あい; あ.わす; あ.わせる; -あ.わせる<br><br><b>Name readings:</b> あう; あん; い; か; こう; ごお; に; ね; や; わい<br><br><b>Stats:</b> Strokes: 6 | Radical: 30 | Freq: #41<br><br><b>Heisig:</b> RTK: #253 | RTK6: #269,grade2
黒,<b>Meanings:</b> black<br><br><b>On'yomi:</b> コク<br><br><b>Kun'yomi:</b> くろ; くろ.ずむ; くろ.い<br><br><b>Stats:</b> Strokes: 11 | Radical: 203 | Freq: #573<br><br><b>Heisig:</b> RTK: #174 | RTK6: #186,grade2
菜,<b>Meanings:</b> vegetable; side dish; greens<br><br><b>On'yomi:</b> サイ<br><br><b>Kun'yomi:</b> な<br><br><b>Name readings:</b> よう<br><br><b>Stats:</b> Strokes: 11 | Radical: 140 | Freq: #1327<br><br><b>Heisig:</b> RTK: #734 | RTK6: #793,grade4
作,<b>Meanings:</b> make; production; prepare; build<br><br><b>On'yomi:</b> サク; サ<br><br><b>Kun'yomi:</b> つく.る; つく.り; -づく.り<br><br><b>Name readings:</b> くり; さか; さっ; づくり; とも; なお; はぎ; まさか<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #103<br><br><b>Heisig:</b> RTK: #1142 | RTK6: #1224,grade2
産,<b>Meanings:</b> products; bear; give birth; yield; childbirth; native; property<br><br><b>On'yomi:</b> サン<br><br><b>Kun'yomi:</b> う.む; う.まれる; うぶ-; む.す<br><br><b>Name readings:</b> もと<br><br><b>Stats:</b> Strokes: 11 | Radical: 100 | Freq: #161<br><br><b>Heisig:</b> RTK: #1560 | RTK6: #1681,grade4
仕,<b>Meanings:</b> attend; doing; official; serve<br><br><b>On'yomi:</b> シ; ジ<br><br><b>Kun'yomi:</b> つか.える<br><br><b>Stats:</b> Strokes: 5 | Radical: 9 | Freq: #439<br><br><b>Heisig:</b> RTK: #960 | RTK6: #1033,grade3
使,<b>Meanings:</b> use; send on a mission; order; messenger; envoy; ambassador; cause<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> つか.う; つか.い; -つか.い; -づか.い<br><br><b>Stats:</b> Strokes: 8 | Radical: 9 | Freq: #219<br><br><b>Heisig:</b> RTK: #990 | RTK6: #1065,grade3
始,<b>Meanings:</b> commence; begin<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> はじ.める; -はじ.める; はじ.まる<br><br><b>Name readings:</b> もと<br><br><b>Stats:</b> Strokes: 8 | Radical: 38 | Freq: #244<br><br><b>Heisig:</b> RTK: #747 | RTK6: #809,grade3
