kanji,back,tags
安,<b>Meanings:</b> relax; cheap; low; quiet; rested; contented; peaceful<br><br><b>On'yomi:</b> アン<br><br><b>Kun'yomi:</b> やす.い; やす.まる; やす; やす.らか<br><br><b>Name readings:</b> あ; あす; あず; あっ; や<br><br><b>Stats:</b> Strokes: 6 | Radical: 40 | Freq: #144<br><br><b>Heisig:</b> RTK: #190 | RTK6: #202,grade3
一,<b>Meanings:</b> one; one radical (no.1)<br><br><b>On'yomi:</b> イチ; イツ<br><br><b>Kun'yomi:</b> ひと-; ひと.つ<br><br><b>Name readings:</b> かず; い; いっ; いる; かつ; かづ; てん; はじめ; ひ; ひとつ; まこと<br><br><b>Stats:</b> Strokes: 1 | Radical: 1 | Freq: #2<br><br><b>Heisig:</b> RTK: #1 | RTK6: #1,grade1
飲,<b>Meanings:</b> drink; smoke; take<br><br><b>On'yomi:</b> イン; オン<br><br><b>Kun'yomi:</b> の.む; -の.み<br><br><b>Stats:</b> Strokes: 12 | Radical: 184 | Freq: #969<br><br><b>Heisig:</b> RTK: #1474 | RTK6: #1584,grade3
右,<b>Meanings:</b> right<br><br><b>On'yomi:</b> ウ; ユウ<br><br><b>Kun'yomi:</b> みぎ<br><br><b>Name readings:</b> あき; すけ<br><br><b>Stats:</b> Strokes: 5 | Radical: 30 | Freq: #602<br><br><b>Heisig:</b> RTK: #78 | RTK6: #82,grade1
雨,<b>Meanings:</b> rain<br><br><b>On'yomi:</b> ウ<br><br><b>Kun'yomi:</b> あめ; あま-; -さめ<br><br><b>Stats:</b> Strokes: 8 | Radical: 173 | Freq: #950<br><br><b>Heisig:</b> RTK: #422 | RTK6: #451,grade1
駅,<b>Meanings:</b> station<br><br><b>On'yomi:</b> エキ<br><br><b>Stats:</b> Strokes: 14 | Radical: 187 | Freq: #724<br><br><b>Heisig:</b> RTK: #1984 | RTK6: #2138,grade3
円,<b>Meanings:</b> circle; yen; round<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> まる.い; まる; まど; まど.か; まろ.やか<br><br><b>Name readings:</b> つぶら; のぶ; まどか; みつ<br><br><b>Stats:</b> Strokes: 4 | Radical: 13 | Freq: #69<br><br><b>Heisig:</b> RTK: #1811 | RTK6: #1952,grade1
下,<b>Meanings:</b> below; down; descend; give; low; inferior<br><br><b>On'yomi:</b> カ; ゲ<br><br><b>Kun'yomi:</b> した; しも; もと; さ.げる; さ.がる; くだ.る; くだ.り; くだ.す; -くだ.す; くだ.さる; お.ろす; お.りる<br><br><b>Name readings:</b> さか; しと<br><br><b>Stats:</b> Strokes: 3 | Radical: 1 | Freq: #97<br><br><b>Heisig:</b> RTK: #50 | RTK6: #51,grade1
何,<b>Meanings:</b> what<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> なに; なん; なに-; なん-<br><br><b>Name readings:</b> あが<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #340<br><br><b>Heisig:</b> RTK: #1012 | RTK6: #1087,grade2
火,<b>Meanings:</b> fire<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> ひ; -び; ほ-<br><br><b>Stats:</b> Strokes: 4 | Radical: 86 | Freq: #574<br><br><b>Heisig:</b> RTK: #161 | RTK6: #173,grade1
花,<b>Meanings:</b> flower<br><br><b>On'yomi:</b> カ; ケ<br><br><b>Kun'yomi:</b> はな<br><br><b>Name readings:</b> わ<br><br><b>Stats:</b> Strokes: 7 | Radical: 140 | Freq: #578<br><br><b>Heisig:</b> RTK: #1009 | RTK6: #1084,grade1
会,<b>Meanings:</b> meeting; meet; party; association; interview; join<br><br><b>On'yomi:</b> カイ; エ<br><br><b>Kun'yomi:</b> あ.う; あ.わせる; あつ.まる<br><br><b>Name readings:</b> あい; い<br><br><b>Stats:</b> Strokes: 6 | Radical: 9 | Freq: #4<br><br><b>Heisig:</b> RTK: #752 | RTK6: #814,grade2
外,<b>Meanings:</b> outside<br><br><b>On'yomi:</b> ガイ; ゲ<br><br><b>Kun'yomi:</b> そと; ほか; はず.す; はず.れる; と-<br><br><b>Name readings:</b> うい; け; ふか<br><br><b>Stats:</b> Strokes: 5 | Radical: 36 | Freq: #81<br><br><b>Heisig:</b> RTK: #111 | RTK6: #116,grade2
学,<b>Meanings:</b> study; learning; science<br><br><b>On'yomi:</b> ガク<br><br><b>Kun'yomi:</b> まな.ぶ<br><br><b>Name readings:</b> たか; のり<br><br><b>Stats:</b> Strokes: 8 | Radical: 39 | Freq: #63<br><br><b>Heisig:</b> RTK: #324 | RTK6: #346,grade1
間,<b>Meanings:</b> interval; space<br><br><b>On'yomi:</b> カン; ケン<br><br><b>Kun'yomi:</b> あいだ; ま; あい<br><br><b>Name readings:</b> ちか; は; はざ; はし<br><br><b>Stats:</b> Strokes: 12 | Radical: 169 | Freq: #33<br><br><b>Heisig:</b> RTK: #1620 | RTK6: #1747,grade2
気,<b>Meanings:</b> spirit; mind; air; atmosphere; mood<br><br><b>On'yomi:</b> キ; ケ<br><br><b>Kun'yomi:</b> いき; き<br><br><b>Stats:</b> Strokes: 6 | Radical: 84 | Freq: #113<br><br><b>Heisig:</b> RTK: #1885 | RTK6: #2030,grade1
