word,back,tags
彼処,"<b>Reading:</b> あそこ, あすこ, かしこ, アソコ, あしこ, あこ<br><br><b>Meanings:</b><br>1. (pronoun) there; over there; that place; yonder; you-know-where [place physically distant from both speaker and listener] <i>(word usually written using kana alone)</i><br>2. (noun (common) (futsuumeishi)) genitals; private parts; nether regions <i>(colloquial; word usually written using kana alone; euphemistic)</i><br>3. (noun (common) (futsuumeishi)) that far; that much; that point [something psychologically distant from both speaker and listener] <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. あそこから人影が見えた。<br>→ A form appeared from over there.<br><br>1. 先生、アソコがかゆいんです。<br>→ Doctor, I've got an itch in my crotch.",N2 common kanji
彼の,"<b>Reading:</b> あの, あん<br><br><b>Meanings:</b><br>1. (pre-noun adjectival (rentaishi)) that; those; the [someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener] <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. あのおいしいワインをなぜ飲まないんだい。<br>→ Why not try that delicious wine?",N2 common kanji
あの人,<b>Reading:</b> あのひと<br><br><b>Meanings:</b><br>1. (pronoun) he; she; that person [sometimes of one's spouse or partner]<br>2. (pronoun) you <i>(archaic)</i><br><br><b>Examples:</b><br>1. 冗談じゃないよ。あの人は私同様医者なんかじゃないよ。<br>→ You can't be serious! He's no more a doctor than I am.,N2 common kanji
あの方,<b>Reading:</b> あのかた<br><br><b>Meanings:</b><br>1. (pronoun) that gentleman; that lady; he; she <i>(honorific or respectful (sonkeigo) language)</i><br><br><b>Examples:</b><br>1. あの方たちに大変うれしいです。<br>→ I am very pleased to meet them.,N2 common kanji
甘子,"<b>Reading:</b> あまご, アマゴ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) land-locked variety of red-spotted masu trout (Oncorhynchus masou ishikawae); amago <i>(word usually written using kana alone)</i>",N2 kanji
彼,"<b>Reading:</b> あれ, アレ<br><br><b>Meanings:</b><br>1. (pronoun) that; that thing [indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly] <i>(word usually written using kana alone)</i><br>2. (pronoun) that person [used to refer to one's equals or inferiors] <i>(word usually written using kana alone)</i><br>3. (pronoun) then; that time <i>(word usually written using kana alone)</i><br>4. (pronoun) that place (over there) <i>(word usually written using kana alone)</i><br>5. (noun (common) (futsuumeishi)) down there (i.e. one's genitals) [oft. written as アレ] <i>(colloquial; euphemistic; word usually written using kana alone)</i><br>6. (noun (common) (futsuumeishi)) period; menses [oft. written as アレ] <i>(colloquial; euphemistic; word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. あれがこの町の大通りだ。<br>→ That is the main street of this city.<br><br>1. あれなら絶対大丈夫！<br>→ Yeah, she must be the sure thing!",N2 common kanji
いい年をして,"<b>Reading:</b> いいとしをして<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) (in spite of) being old enough to know better",N2 kanji
お出でになる,"<b>Reading:</b> おいでになる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to be <i>(honorific or respectful (sonkeigo) language; word usually written using kana alone)</i><br>2. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to come <i>(honorific or respectful (sonkeigo) language; word usually written using kana alone)</i><br>3. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to go <i>(honorific or respectful (sonkeigo) language; word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. あなたがおいでになることを公にするのは賢明ではないかもしれない。<br>→ It may be unwise of you to advertise your presence.<br><br>1. この雨の中をおいでにならないでください。<br>→ Don't bother coming in this rain.",N2 kanji
御田,"<b>Reading:</b> おでん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) oden; dish of various ingredients, e.g. egg, daikon, potato, chikuwa, konnyaku stewed in soy-flavored dashi <i>(word usually written using kana alone)</i>",N2 common kanji
お鍋,"<b>Reading:</b> おなべ, オナベ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) pan; pot <i>(polite (teineigo) language)</i><br>2. (noun (common) (futsuumeishi)) transgender man (female-to-male); butch lesbian; female transvestite [often derog.] <i>(word usually written using kana alone; slang)</i><br>3. (noun (common) (futsuumeishi)) maidservant; housemaid [orig. used as a name for female servants in Edo-period literature] <i>(archaic)</i><br>4. (noun (common) (futsuumeishi)) night work <i>(archaic)</i>",N2 kanji
