word,back,tags
〃,"<b>Reading:</b> おなじ, おなじく<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) ditto mark",non_jlpt kanji
仝,"<b>Reading:</b> どう<br><br><b>Meanings:</b><br>1. (unclassified) ""as above"" mark",non_jlpt kanji
々,"<b>Reading:</b> のま, ノマ<br><br><b>Meanings:</b><br>1. (unclassified) kanji repetition mark",non_jlpt kanji
○,"<b>Reading:</b> まる<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) circle [sometimes used for zero]<br>2. (noun (common) (futsuumeishi)) ""correct""; ""good"" [when marking a test, homework, etc.]<br>3. (unclassified) *; _ [placeholder used to censor individual characters or indicate a space to be filled in]<br>4. (noun (common) (futsuumeishi)) period; full stop<br>5. (noun (common) (futsuumeishi)) handakuten (diacritic)",non_jlpt kanji
ＣＤプレーヤー,"<b>Reading:</b> シーディープレーヤー, シーディープレイヤー<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) CD player<br><br><b>Examples:</b><br>1. 私は、このＣＤプレイヤーをただで得ました。<br>→ I got this CD player for free.",non_jlpt common kanji
Ｏバック,<b>Reading:</b> オーバック<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) O-back; skirt with peek-a-boo hole in rump,non_jlpt kanji
Ｔシャツ,<b>Reading:</b> ティーシャツ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) T-shirt; tee shirt<br><br><b>Examples:</b><br>1. このＴシャツはバーゲンで買ったんだ。<br>→ I bought this T-shirt on sale.,non_jlpt common kanji
Ｔバック,<b>Reading:</b> ティーバック<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) T-back; bikini thong,non_jlpt common kanji
溢れる,"<b>Reading:</b> あぶれる<br><br><b>Meanings:</b><br>1. (Ichidan verb; intransitive verb) to fail (in getting a job); to miss out (at fishing, hunting, etc.) <i>(word usually written using kana alone)</i><br>2. (Ichidan verb; intransitive verb) to be left out; to be crowded out <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 今日は仕事にあぶれた。<br>→ I found no job today.",non_jlpt kanji
𩺊,"<b>Reading:</b> あら, アラ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) saw-edged perch (Niphon spinosus) <i>(word usually written using kana alone)</i>",non_jlpt kanji
